Name,Admission number,Branch,Fathers name,Mothers name,Caste,Contact number,DOB,10th GPA,Inter marks,Eamcet rank,Special category,Gender
GEETHIKA,802,CHEMICAL,RAMU,LATHA,BC,9234567891,20-04-2001,10,870,29000,NCC,F
SREE,124,CIVIL,RAJU,SIRI,BC,9156784309,8/4/2003,10,866,7000,NILL,F
PRADEEP,433,ECE,RAMESH,RAJI,BC,8240918365,28-07-2002,9.8,790,3802,NILL,M
DIYA,543,CSE,SREENU,RAMYA,BC,9128374651,17-09-2001,9.2,800,50287,CAP,F
ANUSHA,101,CIVIL,VAMSI,VARSHITHA,BC,6567587554,21-11-2002,9,554,7800,NILL,F
JENNY,358,EEE,BADRF,OKDV,BC,6236534234,25-02-2002,9.8,877,42870,NILL,M
SWEETY,235,MECH,DSRC,MHNU,BC,5476474656,19-04-2001,8.6,654,54376,NCC,F
GRACE,185,CIVIL,FDSHF,YRCB,BC,9853434222,5/7/2001,10,863,9834,NILL,F
SITA,563,CSE,YB,TERBRS,BC,4336465452,8/4/2003,10,987,8273,NILL,F
RAMU,205,MECH,GFXFGH,TRVHH,BC,8634553254,9/4/2001,10,765,9872,CAP,M
ARCHANA,370,EEE,UBGNG,HGGTVYJTB,BC,4355536454,3/9/2002,9,982,5165,NCC,F
PREETHI,832,CHEMICAL,RAVI,SIRI,BC,9874253465,6/12/2003,9.6,896,4609,NCC,F
RAJITHA,188,CIVIL,SURYA,KIARA,BC,9104287436,12/4/2003,9,867,4567,CAP,F
SUDHEER,253,MECH,VENKAT,DEEPU,BC,6358741209,12/12/2002,8.9,957,4567,SPORTS,M
HUS,526,CSE,JHINCO,SJNFVT,BC,6567778557,30-03-2001,9.3,872,964,NILL,F
KRISHNA,890,CHEMICAL,YJJJHGF,UHKAMCM,BC,8774537655,18-02-2002,9.8,876,9873,NCC,M
CHINNU,364,EEE,UYJUIYIYL,IJFYUGNJ,BC,9863654659,6/12/2003,9.6,987,3141,NCC,M
PAVAN,509,CSE,LKDJSD,JHDGHFV,BC,7564656454,10/10/2001,10,957,2452,NILL,M
PRAV,590,CSE,UISHHJ,OSHBX,BC,8372636454,5/7/2001,9.3,767,1342,NILL,F
