Name,Admission Number,Branch,Father Name,Mother Name,caste,Contact number,DOB,10th CGPA,Inter marks,Eamcet rank,Special Category,E.MAIL ID,GENDER
SAI,501,CSE,SURESH,SUMA,OC,9876543210,23-4-2002,10,985,10000,NILL,sai1982@gmail.com,F
GEETHKA,502,CSE,RAMU,LATHA,BC-A,9234567891,20-4-2001,10,870,29000,NCC,geethika198@gmail.com,F
SEETHA,565,CSE,MAHESH,RANI,SC,9856391786,9/3/2001,10,959,20000,NCC,seetha9045@gmail.com,F
DIYA,543,CSE,SREENU,RAMYA,BC-A,9128374651,17-9-2001,9.2,800,50287,CAP,diya186@gmail.com,F
JOHN,569,CSE,ABC,XVZ,OC,9865397342,13-6-2002,10,887,3400,NILL,john@gmail.coom,M
HONEY,573,CSE,YFJHF,LIUN,SC,9753175646,21-12-2001,10,778,43243,NCC,honey@gmail.com,F
THOMAS,557,CSE,IUTGJ,YRVJ,ST,8767655448,10/10/2001,9.3,826,9791,NILL,thomas@gmail.com,M
SITA,563,CSE,YB,TERBRS,BC-D,4336876887,8/4/2003,10,987,8273,NILL,sita@gmail.com,F
RASHMI,554,CSE,SURENDRA,LAKSHMI,ST,9123456780,12/7/2002,9,585,29045,CAP,rashmi@gmail.com,F
DEEPIKA,589,CSE,SURESH,BANU,OC,9191929282,4/3/2002,9.5,584,2467,CAP,deepika@gmail.com,F
SUREKHA,576,CSE,SRINIVAS,SUMATHI,ST,9125478630,11/15/2003,8.8,987,10462,CAP,suresha@gmail.com,M
