Name,Admission Number,Branch,Father Name,Mother Name,caste,Contact number,DOB,10th CGPA,Inter marks,Eamcet rank,Special Category,E.MAIL ID,GENDER
RAM,409,ECE,HARSH,SARITHA,SC,8932768113,1/8/2002,10,900,3040,NILL,ram2718@gmail.com,M
PRADEEP,433,ECE,RAMESH,RAJI,BC-C,8240918365,28-7-2002,9.8,790,3802,NILL,pradeep@gmail.com,M
JAMES,436,ECE,JHVTDJ,EXGJJH,SC,7886765564,7/10/2002,9.4,776,987,NILL,robort@gmail.com,M
PREETHI,444,ECE,RAVI,SIRI,BC-E,9874235416,6/12/2003,9.6,896,4609,NCC,preethi@gmail.com,F
SOUMYA,485,ECE,RAVINDRA,BHARATHI,ST,9874576384,6/25/2003,8.9,678,10567,NCC,soumya@gmail.com,F
KEERTHI,437,ECE,SUDHARSHAN,SOUMYA,OC,9856320147,12/20/2002,9.8,786,36045,SPORT,keerthi@gmail.com,F
HUS,402,ECE,JHNDKD,SJNJJEF,BC-B,6567783678,30-3-2001,9.3,872,964,NILL,hus@gmail.com,F
KRISHNA,407,ECE,YJJKNS,UHKABCM,BC-B,8736726276,18-2-2002,9.8,876,9873,NCC,krish@gmail.com,M
PAVAN,478,ECE,LKDJSD,JHDBHJW,BC-A,7564897143,10/10/2001,10,957,2452,NILL,pavan@gmail.com,M
BANDI,498,ECE,UGHJS,KIDMHB,OC,8378278676,18-2-2002,10,967,5464,NILL,bandi@gmail.com,M
