Name,Admission Number,Branch,Father Name,Mother Name,caste,Contact number,DOB,10th CGPA,Inter marks,Eamcet rank,Special Category,E.MAIL ID,GENDER
MADHU,344,EEE,ABI,LAKSHMI,ST,8236549214,818-9-2002,10,590,5782,NILL,madhu@gmail.com,M
KALA,349,EEE,HARISH,PREETHI,OC,8765346992,31-8-2003,9.6,890,8000,Sport,kala735986@gmail.com,F
JENNY,358,EEE,BADRF,OKDV,BC-A,6236865868,25-2-2002,9.8,877,42870,NILL,jenny@gmail.com,M
ARCHANA,370,EEE,UBGNUN,HGGTVTHB,BC-C,4356787654,3/9/2002,9,982,5165,NCC,archanam@gmail.com,F
NANDINI,362,EEE,SRIRAM,SITA,OC,9587461022,12/26/2002,10,888,8679,SPORT,nandu@gmail.com,M
SWATHI,363,EEE,KAMAL,VANI,ST,9595682430,7/9/2002,8.5,675,7098,CAP,swathi@gmail.com,F
SHAFI,385,EEE,UBAJ,KJHA,SC,6548724678,29-8-2002,10,986,9873,NILL,shafi@gmail.com,M
CHINNU,364,EEE,UYJUSGF,IJWHBHN,BC-D,9836478265,6/12/2003,9.6,987,3141,NCC,chinnu@gmail.com,M
PRAV,387,EEE,UISKAJ,OSHBX,BC-C,8372761578,5/7/2001,9.3,767,1342,NILL,prav@gmail.com,F
NEHA,321,EEE,JHSBJA,TSFHAVA,OC,8768326867,8/4/2003,8.9,725,8559,NILL,neha@gmail.com,F
