Name,Admission Number,Branch,Father Name,Mother Name,caste,Contact number,DOB,10th CGPA,Inter marks,Eamcet rank,Special Category,E.MAIL ID,GENDER
SWEETY,235,MECH,DSRC,MNHU,BC-B,5476426537,19-4-2001,8.6,654,54376,NCC,sweety@gmail.com,F
ROBORT,287,MECH,KIIUF,KAVIU,OC,6586439764,9/3/2001,9.8,434,88675,CAP,robort@gmail.com,M
RAMU,205,MECH,GFXFGH,TRVHVH,BC-B,8653456787,9/4/2001,10,765,9872,CAP,ramu@gail.com,M
SREEJA,259,MECH,GRC,GFGBHYFYH,OC,9543754433,2/12/2002,9.2,876,855,NILL,sreeja@gmail.com,F
PRADEEP,222,MECH,SUBBARAO,RANI,ST,9630258741,11/18/2002,8.9,968,9075,NCC,pradeep@gmail.com,M
SUDHEER,253,MECH,VENKAT,DEEPU,BC-E,6358741209,12/12/2002,8.9,957,4567,SPORT,sudheer@gmail.com,M
MUNNI,264,MECH,JDDA,IADWD,ST,7638267284,18-8-2002,10,874,8378,NILL,munni@gmail.com,F
RANI,286,MECH,JHBMH,UKJFFEF,ST,7653728766,8/4/2003,9.7,751,8888,CAP,rani@gmail.com,F
RAM,293,MECH,JHDMS,RBCNKC,ST,7589640893,3/9/2002,10,962,6753,NILL,ram@gmail.com,M
CHINNA,277,MECH,USHBJH,OGJGDHM,SC,7362786726,8/4/2003,9,984,3463,NCC,chinna@gmail.com,M
