Name,Admission number,Branch,Fathers name,Mothers name,Caste,Contact number,DOB,10th GPA,Inter marks,Eamcet rank,Special category,
MADHU,344,EEE,ABI,LAKSHMI,ST,8231243524,18-09-2002,10,590,5782,NILL,M
AMELIA,102,CIVIL,HVRUYU,INBN,ST,9123456789,13-09-2001,9,976,76554,CAP,F
THOMAS,875,CHEMICAL,IUTGJ,YRVJ,ST,8767655448,10-10-2001,9.3,826,9791,NILL,M
RASHMI,554,CSE,SURENDRA,LAKSHMI,ST,9123456780,12-07-2003,9,585,29045,CAP,F
SUREKHA,876,CHEMICAL,SRINIVAS,SUMATHI,ST,9125643556,11-05-2003,8.8,987,10462,CAP,M
SOUMYA,485,ECE,RAVINDRA,BHARATHI,ST,9874576384,06-02-2003,8.9,678,10567,NCC,F
SWATHI,363,EEE,KAMAL,VANI,ST,8585682407,07-09-2002,8.5,675,7098,CAP,F
PRADEEP,222,MECH,SUBBRAO,RANI,ST,9630123456,11-08-2002,8.9,968,9075,NCC,M
MUNNI,264,MECH,JDDA,IADWD,ST,7683475743,18-08-2002,10,874,8378,NILL,F
RANI,286,MECH,JHBMH,UKHJGF,ST,7653987654,08-04-2003,9.7,751,8888,CAP,F
RAM,293,MECH,JHDMS,BBCNKC,ST,75894576537,03-09-2002,10,962,6753,NILL,M
